,image_Height,image_Width,image_Format,image_mode,image_Animated,image_Frames,image_id,class,Xmin,Xmax,Ymin,Ymax,width,height
0,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,209,354,55,234,145,179
1,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1660,1841,72,266,181,194
2,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,2185,2280,71,159,95,88
3,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,2397,2522,171,274,125,103
4,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,2309,2491,300,459,182,159
5,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Truncated_airplane,2495,2567,405,552,72,147
6,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1777,1927,284,437,150,153
7,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1946,2100,449,611,154,162
8,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1853,2031,629,779,178,150
9,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,2121,2292,759,924,171,165
10,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1828,1933,806,889,105,83
11,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1247,1418,215,424,171,209
12,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1040,1211,313,498,171,185
13,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,803,1012,389,592,209,203
14,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,622,798,475,658,176,183
15,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1159,1265,793,915,106,122
16,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1664,1752,980,1089,88,109
17,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1541,1644,1010,1129,103,119
18,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1178,1268,1174,1274,90,100
19,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,1857,2031,1442,1643,174,201
20,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,805,1006,2103,2281,201,178
21,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,671,776,1919,2034,105,115
22,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,289,387,2072,2169,98,97
23,2560,2560,JPEG,RGB,False,1,78400c58-1a7c-4342-a1fb-2117cb7cbc8b.jpg,Airplane,0,104,1912,2009,104,97
24,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1379,1470,429,531,91,102
25,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1627,1707,248,345,80,97
26,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1707,1836,128,262,129,134
27,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1860,1948,65,163,88,98
28,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1782,1913,626,763,131,137
29,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1546,1690,944,1072,144,128
30,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1506,1646,1106,1250,140,144
31,2560,2560,JPEG,RGB,False,1,f82d64a6-3bfa-4612-bcbd-847a7d89c296.jpg,Airplane,1495,1673,1291,1444,178,153
